q3_mesh_array_2threads_4446_535.so, 0.0949344 sec, 0.0952799 sec, 0.095314 sec
q3_mesh_array_2threads_535_1478.so, 0.110489 sec, 0.110435 sec, 0.109295 sec
q3_mesh_array_2threads_7608_3646.so, 0.026695 sec, 0.0267867 sec, 0.0266708 sec
q3_mesh_array_2threads_90725_1570.so, 0.0620457 sec, 0.0622586 sec, 0.0620021 sec
q3_mesh_array_2threads_90725_2584.so, 0.0287462 sec, 0.0287882 sec, 0.0290424 sec
q3_mesh_array_4threads_1570_2584.so, 0.0746112 sec, 0.0761798 sec, 0.0744032 sec
q3_mesh_array_4threads_4446_1478.so, 0.0274512 sec, 0.0270166 sec, 0.0270169 sec
q3_mesh_array_4threads_4446_535.so, 0.0944324 sec, 0.0949928 sec, 0.0943752 sec
q3_mesh_array_4threads_535_1478.so, 0.102182 sec, 0.101409 sec, 0.100781 sec
q3_mesh_array_4threads_7608_3646.so, 0.0267453 sec, 0.027007 sec, 0.0268775 sec
q3_mesh_array_4threads_90725_1570.so, 0.062005 sec, 0.0619991 sec, 0.0616405 sec
q3_mesh_array_4threads_90725_2584.so, 0.0289192 sec, 0.0288744 sec, 0.0290631 sec
q4_mesh_array_0threads_1570_2584.so, 0.105208 sec, 0.104572 sec, 0.104546 sec
q4_mesh_array_0threads_4446_1478.so, 0.00159507 sec, 0.00154446 sec, 0.00155309 sec
q4_mesh_array_0threads_4446_535.so, 0.0737227 sec, 0.0738539 sec, 0.0736051 sec
q4_mesh_array_0threads_535_1478.so, 0.129747 sec, 0.129763 sec, 0.129528 sec
q4_mesh_array_0threads_7608_3646.so, 0.00131717 sec, 0.00128832 sec, 0.00125386 sec
q4_mesh_array_0threads_90725_1570.so, 0.03453 sec, 0.0342896 sec, 0.0342486 sec
q4_mesh_array_0threads_90725_2584.so, 0.00124726 sec, 0.0012311 sec, 0.00122192 sec
q4_mesh_array_1threads_1570_2584.so, 0.123219 sec, 0.123045 sec, 0.122866 sec
q4_mesh_array_1threads_4446_1478.so, 0.00198092 sec, 0.00189075 sec, 0.001962 sec
q4_mesh_array_1threads_4446_535.so, 0.074932 sec, 0.0757005 sec, 0.0751807 sec
q4_mesh_array_1threads_535_1478.so, 0.148032 sec, 0.147132 sec, 0.147141 sec
q4_mesh_array_1threads_7608_3646.so, 0.00153619 sec, 0.00149908 sec, 0.00144006 sec
q4_mesh_array_1threads_90725_1570.so, 0.034429 sec, 0.0348433 sec, 0.0343768 sec
